 ,Area,Mean,Min,Max
1045,2,255,255,255
1046,17,255,255,255
1047,9,255,255,255
1048,2,255,255,255
1049,1,255,255,255
1050,3,255,255,255
1051,1,255,255,255
1052,2,255,255,255
1053,1,255,255,255
1054,4,255,255,255
1055,1,255,255,255
1056,10,255,255,255
1057,105,255,255,255
1058,7,255,255,255
1059,2,255,255,255
1060,3,255,255,255
1061,5,255,255,255
1062,1,255,255,255
1063,40,255,255,255
1064,1,255,255,255
1065,1,255,255,255
1066,1,255,255,255
1067,2,255,255,255
1068,2,255,255,255
1069,21,255,255,255
1070,38,255,255,255
1071,21,255,255,255
1072,9,255,255,255
1073,1,255,255,255
1074,1,255,255,255
1075,5,255,255,255
1076,1,255,255,255
1077,1434,255,255,255
1078,1,255,255,255
1079,1,255,255,255
1080,20,255,255,255
1081,1,255,255,255
1082,194,255,255,255
1083,21,255,255,255
1084,13,255,255,255
1085,2,255,255,255
1086,1,255,255,255
1087,4,255,255,255
1088,3,255,255,255
1089,2,255,255,255
1090,2,255,255,255
1091,23,255,255,255
1092,1,255,255,255
1093,8,255,255,255
1094,21,255,255,255
1095,5,255,255,255
1096,3,255,255,255
1097,2,255,255,255
1098,1,255,255,255
1099,11,255,255,255
1100,23,255,255,255
1101,1,255,255,255
1102,1,255,255,255
1103,88,255,255,255
1104,2,255,255,255
1105,1,255,255,255
1106,6,255,255,255
1107,4,255,255,255
1108,3,255,255,255
1109,2,255,255,255
1110,1,255,255,255
1111,1,255,255,255
1112,1,255,255,255
1113,190,255,255,255
1114,9,255,255,255
1115,8,255,255,255
1116,2,255,255,255
1117,1,255,255,255
1118,2,255,255,255
1119,1,255,255,255
1120,9,255,255,255
1121,2,255,255,255
1122,1,255,255,255
1123,7,255,255,255
1124,1,255,255,255
1125,31,255,255,255
1126,1,255,255,255
1127,1,255,255,255
1128,1,255,255,255
1129,1,255,255,255
1130,2,255,255,255
1131,4,255,255,255
1132,1,255,255,255
1133,1,255,255,255
1134,4,255,255,255
1135,46,255,255,255
1136,37,255,255,255
1137,19,255,255,255
1138,1,255,255,255
1139,1,255,255,255
1140,2,255,255,255
1141,3,255,255,255
1142,1,255,255,255
1143,2,255,255,255
1144,1,255,255,255
1145,26,255,255,255
1146,3,255,255,255
1147,15,255,255,255
1148,9,255,255,255
1149,2,255,255,255
1150,3,255,255,255
1151,1,255,255,255
1152,11,255,255,255
1153,11,255,255,255
1154,1,255,255,255
1155,3,255,255,255
1156,2,255,255,255
1157,1,255,255,255
1158,2,255,255,255
1159,1,255,255,255
1160,1,255,255,255
1161,2,255,255,255
1162,1,255,255,255
1163,22,255,255,255
1164,2,255,255,255
1165,1,255,255,255
1166,1,255,255,255
1167,42,255,255,255
1168,3,255,255,255
1169,2,255,255,255
1170,2,255,255,255
1171,15,255,255,255
1172,3,255,255,255
1173,2,255,255,255
1174,1,255,255,255
1175,2,255,255,255
1176,9,255,255,255
1177,1,255,255,255
1178,1,255,255,255
1179,3,255,255,255
1180,3,255,255,255
1181,5,255,255,255
1182,1,255,255,255
1183,3,255,255,255
1184,1,255,255,255
1185,7,255,255,255
1186,4,255,255,255
1187,9,255,255,255
1188,11,255,255,255
1189,5,255,255,255
1190,53,255,255,255
1191,5,255,255,255
1192,14,255,255,255
1193,2,255,255,255
1194,28,255,255,255
1195,1,255,255,255
1196,1,255,255,255
1197,6,255,255,255
1198,22,255,255,255
1199,6,255,255,255
1200,20,255,255,255
1201,25,255,255,255
1202,1,255,255,255
1203,2,255,255,255
1204,1,255,255,255
1205,1,255,255,255
1206,1,255,255,255
1207,1,255,255,255
1208,8,255,255,255
1209,8,255,255,255
1210,2,255,255,255
1211,1,255,255,255
1212,1,255,255,255
1213,4,255,255,255
1214,1,255,255,255
1215,15,255,255,255
1216,1,255,255,255
1217,2,255,255,255
1218,4,255,255,255
1219,18,255,255,255
1220,1,255,255,255
1221,5,255,255,255
1222,1,255,255,255
1223,1,255,255,255
1224,1,255,255,255
1225,2,255,255,255
1226,2,255,255,255
1227,2,255,255,255
1228,8,255,255,255
1229,2,255,255,255
1230,1,255,255,255
1231,2,255,255,255
1232,8,255,255,255
1233,1,255,255,255
1234,1,255,255,255
1235,10,255,255,255
1236,6,255,255,255
1237,2,255,255,255
1238,6,255,255,255
1239,5,255,255,255
1240,64,255,255,255
1241,2,255,255,255
1242,5,255,255,255
1243,5,255,255,255
1244,21,255,255,255
1245,5,255,255,255
1246,11,255,255,255
1247,7,255,255,255
1248,1,255,255,255
1249,9,255,255,255
1250,3,255,255,255
1251,1,255,255,255
1252,5,255,255,255
1253,18,255,255,255
1254,9,255,255,255
1255,29,255,255,255
1256,3,255,255,255
1257,2,255,255,255
1258,2,255,255,255
1259,11,255,255,255
1260,1,255,255,255
1261,1,255,255,255
1262,7,255,255,255
1263,9,255,255,255
1264,12,255,255,255
1265,1,255,255,255
1266,12,255,255,255
1267,34,255,255,255
1268,11,255,255,255
1269,2,255,255,255
1270,4,255,255,255
1271,2,255,255,255
1272,2,255,255,255
1273,2,255,255,255
1274,111,255,255,255
1275,1,255,255,255
1276,3,255,255,255
1277,6,255,255,255
1278,1,255,255,255
1279,1,255,255,255
1280,12,255,255,255
1281,2,255,255,255
1282,12,255,255,255
1283,8,255,255,255
1284,3,255,255,255
1285,25,255,255,255
1286,1,255,255,255
1287,24,255,255,255
1288,1,255,255,255
1289,14,255,255,255
1290,101,255,255,255
1291,1,255,255,255
1292,4,255,255,255
1293,1,255,255,255
1294,1,255,255,255
1295,1,255,255,255
1296,2,255,255,255
1297,1,255,255,255
1298,2,255,255,255
1299,8,255,255,255
1300,16,255,255,255
1301,14,255,255,255
1302,31,255,255,255
1303,1,255,255,255
1304,20,255,255,255
1305,22,255,255,255
1306,1,255,255,255
1307,3,255,255,255
1308,6,255,255,255
1309,5,255,255,255
1310,10,255,255,255
1311,6,255,255,255
1312,1,255,255,255
1313,5,255,255,255
1314,6,255,255,255
1315,5,255,255,255
1316,1,255,255,255
1317,3,255,255,255
1318,1,255,255,255
1319,2,255,255,255
1320,1,255,255,255
1321,1,255,255,255
1322,100,255,255,255
1323,3,255,255,255
1324,4,255,255,255
1325,4,255,255,255
1326,2,255,255,255
1327,1,255,255,255
1328,8,255,255,255
1329,1,255,255,255
1330,22,255,255,255
1331,1,255,255,255
1332,2,255,255,255
1333,1,255,255,255
1334,8,255,255,255
1335,3,255,255,255
1336,1,255,255,255
1337,3,255,255,255
1338,1,255,255,255
1339,1,255,255,255
1340,3,255,255,255
1341,1,255,255,255
1342,10,255,255,255
1343,3,255,255,255
1344,1,255,255,255
1345,4,255,255,255
1346,2,255,255,255
1347,2,255,255,255
1348,7,255,255,255
1349,18,255,255,255
1350,4,255,255,255
1351,1,255,255,255
1352,1,255,255,255
1353,1,255,255,255
1354,23,255,255,255
1355,2,255,255,255
